"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"72",1.06,0.44,0.18,0.12,0.17,0.89,2.92,4.08,7.12,7.75,4.37,3.37,3.95,4.26,4.59,5.31,5.73,8.03,11.39,7.22,7.06,4.27,3.44,2.03
"79",0.47,0.29,0.13,0.06,0.55,0.32,1.37,3.98,11.29,14.67,6.35,3.7,4.08,4.54,4.18,4.71,5.24,5.34,7.69,4.97,2.95,2.02,1.37,0.92
"82",0.33,0.17,0.12,0.22,0.4,0.13,0.24,0.75,1.62,1.17,0.98,1.14,1.31,1.51,1.54,2.33,2.55,3.92,4.08,2.8,2,1.7,1.31,0.79
"83",0.56,0.31,0.19,0.09,0.05,0.09,0.24,1.05,2.12,2.26,1.2,1.69,1.89,1.82,2.1,2.38,3.12,4.29,5.05,5.15,3.53,2.12,1.52,1.05
"116",2.7,0.89,0.49,0.25,0.18,0.76,2.51,6.54,18.92,24.56,13.65,8.77,8.66,7.86,7.5,7.89,8.06,14.4,19.6,15.5,10.68,8.53,6.04,3.98
"119",0.11,0.07,0.02,0.01,0.02,0.11,0.03,0.1,0.2,0.11,0.09,0.16,0.29,0.24,0.18,0.44,0.4,0.61,1.47,0.53,0.38,0.26,0.18,0.18
"120",0.52,0.26,0.06,0.05,0.01,NA,0.03,0.18,0.31,0.37,0.44,0.46,0.37,0.37,0.44,0.39,0.67,0.82,2.56,2.43,1.66,1.32,0.96,0.75
"127",1.52,0.64,0.34,0.17,0.15,0.43,3.59,5.83,17.79,30.08,13.99,8.01,7.66,8.39,9.57,8.24,10.05,21.5,29.95,21.42,11.37,7.05,4.76,3.01
"128",1.47,0.48,0.25,0.18,0.05,0.13,1.63,6.98,17.74,17.01,6.29,4.34,5.33,5.89,6.02,6.64,7.15,11.76,15.15,12.81,9.51,5.79,4.3,2.37
"137",0.12,0.07,0.03,0.02,0.04,0.9,4.17,13.59,19.97,3.47,2.56,3.46,4.52,4.86,4.64,4.34,4.26,3.91,3.6,1.58,0.76,0.53,0.31,0.29
"143",0.45,0.21,0.1,0.05,0.03,0.33,0.63,1.11,2.67,1.92,1.26,0.97,1.05,1.07,1.28,1.4,1.53,2.69,4.61,4.4,2.6,1.79,1.24,0.75
"144",0.14,0.08,0.09,NA,0.01,0.02,0.05,0.37,1.93,0.91,0.93,0.85,1.2,1.15,1,0.82,0.94,1.27,1.18,1.34,0.63,0.44,0.56,0.27
"146",0.71,0.37,0.16,0.08,0.09,0.51,0.85,2.6,7.92,7.52,5.17,4.21,5.28,4.97,4.79,4.58,5.61,8.44,8.87,6.05,3.51,2.34,1.69,1.18
"147",1,0.55,0.31,0.15,0.13,1.24,4.66,15.02,20.09,12.33,5.26,5.6,7.18,6.98,7.72,7.35,10.53,17.08,17.94,13.34,8.34,5.2,3.44,1.48
"150",1.49,0.66,0.37,0.2,0.11,0.09,0.63,2.85,2.77,0.96,1.68,1.4,2.08,2.45,2.87,3.4,4.75,8.04,14.33,9.3,5.63,3.13,2.26,1.72
"151",2.58,1.38,0.79,0.31,0.27,1.15,3.92,6.92,16.58,25.67,14.44,11.91,13.4,13.57,14.13,13.94,14.98,20.11,23.73,20.32,14.12,7.85,5.91,4.13
"152",0.51,0.24,0.08,0.02,0.07,1.02,2.24,3.73,7.47,8.67,3.92,3.63,3.66,3.31,3.49,3.68,4.02,5.77,6.45,4.96,2.69,1.54,0.93,0.88
"153",0.17,0.16,0.12,0.07,0.13,0.92,2.03,5.06,10.59,8.3,3.55,3.37,4.34,4.31,3.62,3.57,3.71,4.79,3.88,2.45,1.3,0.89,0.43,0.28
"157",0.43,0.37,0.12,0.08,0.04,0.05,0.53,0.51,1.18,1.46,1.05,1.18,1.53,1.78,2.24,2.31,2.34,4.76,7.15,4.92,2.86,1.68,1.31,1.12
"160",0.89,0.37,0.14,0.07,0.08,0.34,1.54,1.85,3.7,3.53,3.2,3.07,3.87,3.83,3.13,4.4,5.4,8.01,9.57,6.24,4.34,3.61,3.05,1.98
"161",2.18,1.18,0.44,0.18,0.1,0.27,1.21,4.09,10.14,14.22,10.93,7.18,8.89,8.69,8.85,9.92,10.4,13.53,14.64,12.12,9.25,6.28,4.52,3.51
"164",0.71,0.2,0.08,0.05,0.02,0.27,2.43,5.24,18.86,22.81,6.06,2.58,4.27,3.92,3.38,2.99,3.15,5.9,6.03,4.65,3.15,2.07,1.76,1.21
"167",1.05,0.31,0.17,0.09,0.05,0.66,3.02,11.12,26.37,17.53,5.71,4.16,4.93,4.81,4.95,4.57,5.27,8.96,8.73,5.95,4.15,2.85,2.4,1.52
"168",0.39,0.21,0.16,0.25,0.34,1.21,4.02,9.98,25.27,29.05,10.47,9.9,12.49,12.52,13.48,13.02,14.75,19.71,21.7,14.79,8.26,3.2,1.61,1.06
"173",0.94,0.4,0.36,0.15,0.14,3.34,10.96,19.48,20.91,16.31,7.36,5.6,7.59,7.13,6.45,6.07,7.74,9.49,9.91,7.04,4.21,2.9,2.45,1.44
"174",2.12,0.87,0.39,0.19,0.15,0.11,1.12,7.21,15,7.69,3.76,2.6,3.31,3.85,4.64,4.49,5.45,9.64,10.89,10.05,7.24,6.14,4.89,3.39
"195",0.65,0.24,0.18,0.07,0.08,0.8,3.23,7.4,15.52,12.31,5.26,4.5,4.82,6.17,5.23,5.2,4.91,6.36,5.43,3.45,2.34,1.95,1.27,1.18
"212",0.67,0.27,0.13,0.1,0.1,0.78,6.08,6.89,11.49,14.68,5.29,5.31,5.89,5.66,6.42,7.16,6.49,8.82,11.63,7.85,4.6,2.6,1.57,1.63
"216",0.18,0.08,NA,0.02,NA,0.01,0.13,0.21,0.83,0.15,0.48,0.62,1.03,1.18,1.06,0.96,1.02,1.31,1.51,1.82,1.58,1.15,0.53,0.29
"217",0.44,0.23,0.11,0.11,0.02,0.05,0.4,0.95,2.19,3.06,2.6,3.43,4.75,4.66,4.82,4.78,4.48,4.44,4.12,4.82,3.47,2.31,1.6,1.06
"218",0.13,0.05,0.05,0.02,0.09,0.09,0.11,0.5,1.24,1.79,1.14,0.7,0.85,0.76,0.75,0.71,1.1,1.28,2.22,2.09,1.22,0.86,0.6,0.41
"223",1.73,0.71,0.33,0.18,0.31,0.56,3.01,5.88,7.05,5.96,4.56,5.91,6.04,5.74,5.99,5.78,7.37,12.48,14.41,10.98,7.09,5.31,4.05,2.82
"224",0.55,0.18,0.17,0.04,0.08,0.09,1.61,3.47,6.76,6.69,3.39,2.95,3.79,4.03,4.19,3.85,5.11,5.37,5.65,4.73,2.8,2.74,1.77,1.08
"225",0.5,0.44,0.19,0.1,0.05,0.08,1.01,3.02,11.91,14.07,5.11,4.19,4.7,5.33,5.79,6.45,6.98,8.24,10.11,8.22,4.98,2.5,1.48,1.09
"228",0.45,0.38,0.24,0.16,0.15,1.02,4.5,14.28,26.68,11.5,2.6,2.08,3.56,3.59,3.3,2.99,4.1,4.59,5.08,2.92,2.02,1.71,1.27,1
"229",0.76,0.39,0.17,0.05,0.2,1.33,2.82,7.34,12.05,12.25,7.26,5.46,6.98,7.08,6.73,7.76,7.98,11.07,14.44,11.06,7.37,4.92,2.84,2.04
"232",0.27,0.13,0.02,0.03,NA,0.01,0.09,0.55,0.64,1.14,0.99,1.8,1.85,2.24,2.5,2.75,2.68,2.32,2.58,2.09,1.02,0.6,0.54,0.3
"233",0.03,0.01,0.01,NA,NA,0.01,0.21,1.25,2.65,1.93,0.73,0.75,0.73,0.77,0.75,0.92,0.62,0.89,0.94,0.79,0.37,0.27,0.11,0.08
"236",2.65,1.34,0.81,0.55,0.42,0.34,1.18,1.84,3.44,5.53,3.77,5.37,6.71,7.24,7.02,7.56,8.17,13.6,19.74,16.6,13.15,9.6,7.29,4.81
"237",2.47,1.42,0.85,0.33,0.13,0.05,0.53,3.11,6.37,4.14,3.55,4.4,7.05,7.08,6.45,7.37,9.39,15.26,22.34,15.93,9.22,6.47,5.79,4.18
"238",0.63,0.28,0.11,0.03,0.03,0.06,0.6,1.84,2.39,3.5,3.43,3.76,4.52,4.85,5.26,5.73,7.08,10.35,12.41,7.56,4.21,2.82,2.02,1.59
"239",0.31,0.08,0.02,NA,0.05,0.28,2.91,4.27,9.18,5.4,1.31,1.08,0.86,0.94,1.1,0.8,0.83,1.86,1.66,1.16,0.7,0.7,0.69,0.49
"241",0.37,0.25,0.05,0.05,0.02,0.18,0.96,0.4,0.79,1.34,0.77,0.52,0.82,0.57,0.89,0.86,1.34,1.31,2.15,2.4,1.95,1.02,0.84,0.64
"242",0.53,0.18,0.05,0.02,0.01,0.08,1.34,0.69,1.54,3.52,1.97,1,1.01,1.44,1.22,1.11,0.73,1.28,2.36,1.85,1.22,1.13,1.01,0.83
"243",0.27,0.08,0.05,0.04,0.02,0.27,1.02,3.89,8.34,5.56,1.19,1.02,0.92,0.87,0.76,0.81,0.77,1.37,2.46,1.6,0.9,0.79,0.42,0.41
"244",0.39,0.37,0.12,0.09,0.08,0.08,0.23,0.24,1.23,1.12,0.43,0.34,0.6,0.74,0.75,0.84,1.44,1.5,4.14,4.34,2.15,1.58,1.54,1.24
"245",0.24,0.1,0.05,0.02,0.02,0.01,0.18,0.21,0.53,0.36,0.35,0.45,0.53,0.5,0.66,0.91,0.89,1.37,1.53,1.27,0.91,0.51,0.67,0.64
"247",0.8,0.45,0.24,0.08,0.05,0.02,0.44,1.38,2.95,3.07,3.25,3.63,4.19,4.34,5.34,5.56,6.49,8.82,9.05,6.3,3.96,2.5,2.27,1.55
"248",0.21,0.09,0.05,0.04,NA,0.08,1.12,2.12,6.34,6.65,2.75,1.26,1.62,1.72,1.63,1.81,1.45,1.71,2.21,1.27,0.95,0.5,0.53,0.43
"249",0.31,0.15,0.05,0.02,0.02,0.08,1.79,8.89,9.5,7.5,3.05,1.81,2.47,3.2,2.27,2.82,3.15,4.21,4.63,3.55,2.29,1.35,1.08,0.59
"250",0.97,0.4,0.34,0.15,0.27,0.98,7.53,10.85,20.79,19.21,10.34,9.06,11.11,11.92,11.61,13.28,14.01,19.06,22.08,15.53,9.32,5.04,2.72,1.81
"251",1.92,1.02,0.53,0.3,0.16,1.14,1.85,4.23,8.72,12.6,9.34,6.46,7.66,6.92,6.81,6.83,7.54,10.76,12.34,11.44,9.55,6.63,5.02,3.57
"252",0.77,0.58,0.24,0.09,0.38,0.05,1.22,5.6,7.8,7.47,6.18,5.62,6.6,7.01,6.33,7.08,7.99,10.4,13.69,10.81,7.11,4.56,3.39,1.97
"253",0.53,0.34,0.18,0.15,0.09,0.81,2.36,4.24,11.02,14.18,9.94,10.02,9.72,7.16,7.76,7.84,7.61,9.4,11.75,7.68,4.56,2.4,1.58,0.94
"254",0.8,0.28,0.15,0.07,0.05,0.08,1.15,2.11,4.08,3.48,2.37,3.31,3.49,3.82,3.53,4.63,4.99,7.85,8.89,7.6,5.28,3.38,2.08,1.46
"255",NA,0.02,NA,0.02,0.01,NA,NA,0.03,0.2,0.1,0.03,NA,0.01,0.01,NA,NA,0.02,NA,0.02,NA,NA,0.04,0.01,NA
"257",0.93,0.5,0.27,0.11,0.34,0.08,1.01,3.98,12.37,17.14,7.49,4.93,4.4,5.59,5.5,5.7,5.63,7.94,8.48,5.25,3.33,2.05,1.67,1.39
"258",0.53,0.23,0.05,0.1,0.03,0.08,0.15,0.43,0.87,0.84,0.63,0.66,0.72,0.66,0.86,0.82,1.2,2.11,3.27,3.2,2.67,1.79,1.56,0.95
"259",0.4,0.07,0.09,0.02,0.02,0.08,1.27,4.78,19.09,12.56,2.35,2.27,3.11,3.54,3.31,4.45,4.09,6.35,5.41,2.43,1.83,1.37,0.75,1.07
"260",0.21,0.11,0.07,0.02,0.02,0.05,2.76,6.51,20.02,14.11,3.84,1.73,2.12,2.66,2.44,2.19,1.52,1.69,2.52,1.46,1.02,0.7,0.43,0.31
"261",0.39,0.33,0.14,0.07,0.02,0.05,0.14,1.04,1.34,2.47,2.19,1.55,1.87,1.41,1.53,1.5,2.11,3.45,4.51,4.07,3.01,2,1.28,0.92
"262",0.33,0.15,0.05,0.03,NA,0.08,0.05,0.18,0.34,0.37,0.36,0.4,0.34,0.44,0.55,0.73,0.92,1.96,2.48,3.11,2.1,1.6,1.32,0.75
