"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"72",0.07,0.04,0.04,0.04,0.03,0.02,0.01,0.04,0.02,0.27,0.83,0.77,0.75,0.65,0.19,0.03,0.02,NA,0.06,0.04,0.04,0.04,0.06,0.02
"79",NA,0.02,0.03,0.02,0.02,0.03,0.02,0.05,0.02,0.03,0.05,0.05,0.06,0.05,0.08,0.09,0.07,0.03,0.02,0.02,0.01,NA,NA,0.01
"82",0.02,0.02,0.03,0.03,0.02,0.02,NA,0.02,0.02,0.02,0.05,0.05,0.03,0.08,0.07,0.02,0.03,0.02,0.02,0.02,0.02,0.05,0.02,0.02
"83",0.05,0.11,0.1,0.1,0.18,0.1,0.05,0.08,0.08,0.06,0.08,0.11,0.11,0.13,0.16,0.18,0.09,0.11,0.07,0.05,0.1,0.07,0.06,0.05
"116",0.05,0.03,0.07,0.06,0.01,0.02,0.02,0.02,0.06,0.05,0.07,0.07,0.07,0.07,0.07,0.03,0.08,0.12,0.03,0.09,0.1,0.07,0.05,0.03
"119",0.11,0.07,0.07,0.03,0.05,0.02,0.02,0.02,0.04,0.07,0.05,0.06,0.04,0.05,0.04,0.05,0.03,0.04,0.01,0.05,0.1,0.13,0.11,0.11
"120",0.07,0.12,0.08,0.04,0.05,0.01,0.03,NA,0.02,0.04,0.07,0.05,0.08,0.06,0.08,0.03,0.03,0.03,0.02,0.07,0.13,0.11,0.05,0.1
"127",0.04,0.07,0.13,0.08,0.05,0.02,0.02,0.06,0.2,0.18,0.15,0.09,0.05,0.08,0.08,0.07,0.03,0.05,0.05,0.09,0.15,0.06,0.05,0.02
"128",0.01,0.02,0.01,0.03,0.05,0.01,0.01,0.01,0.02,0.02,0.05,0.07,0.07,0.05,0.05,0.05,0.07,0.03,0.02,0.04,0.05,0.02,0.03,NA
"137",0.05,0.05,0.13,0.14,0.28,0.32,0.12,0.11,0.05,0.03,0.07,0.02,0.15,0.15,0.17,0.16,0.11,0.4,3.77,3.76,1.15,0.18,0.07,0.07
"143",0.05,0.06,0.07,0.04,0.08,0.04,0.02,0.01,NA,NA,0.01,0.03,0.02,0.03,0.05,0.08,0.02,0.03,0.02,0.02,0.03,0.04,0.07,0.05
