"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"72",0.53,0.18,0.12,0.11,0.36,0.41,1.85,4.43,16.6,9.82,5.96,4.06,4.31,4.44,5.04,5.55,7.11,8.66,8.98,6.31,3.05,2.44,2.02,0.98
"79",0.61,0.18,0.16,0.09,0.02,0.25,1.37,2.33,5.61,5.5,3.73,3.4,4.95,4.63,5.01,5.03,5.23,7.34,13.21,7.91,5.08,3.11,2.27,1.67
"82",0.19,0.04,0.08,0.05,0.05,0.2,1.15,1.46,4.08,3.47,1.52,1.28,1.61,1.47,1.6,1.6,2.23,2.44,3.28,2.49,1.51,1.24,0.62,0.47
"83",0.64,0.21,0.1,0.05,0.04,0.06,0.98,1.65,3.01,2.29,1.33,1.46,1.63,1.7,1.67,2,2.31,2.86,3.75,2.88,2.5,2.37,1.8,1.32
"116",1.6,1.27,0.84,0.35,0.26,1.76,3.2,7.96,15.36,19.31,10.42,7.55,8.01,8.23,9.42,10.63,12.21,20.37,19.87,14.62,9.95,6.46,5.21,3.18
"119",0.04,0.05,0.02,NA,0.01,0.01,0.88,0.3,1.02,1.03,0.59,0.65,0.36,0.31,0.11,0.19,0.11,0.18,0.37,0.46,0.08,0.05,0.03,0.08
"120",0.07,0.05,0.02,0.05,NA,0.13,0.74,2.15,2.93,2.56,0.67,0.52,0.55,0.56,0.45,0.52,0.42,0.48,0.79,0.79,0.7,0.5,0.37,0.33
"127",1.25,0.45,0.24,0.19,0.2,1.09,4.5,11.16,25.98,24.12,13.47,9.83,8.73,8.55,7.95,9.49,10.15,19.06,25.44,18.48,10.03,5.91,4.26,3.23
"128",1.3,0.59,0.24,0.25,0.4,1.11,1.87,4.79,12.27,9.18,4.72,4.79,5.62,5.95,7.09,7.28,7.56,14.44,19.08,12.39,7.31,5.29,4.64,2.99
"137",0.29,0.11,0.02,0.02,0.03,0.15,0.44,0.55,1.25,1.65,2.57,4.27,5.48,6.56,7.8,8.56,15.86,15.63,4.67,5.21,4.2,2.23,1.24,0.71
"143",0.24,0.12,0.03,0.03,NA,0.13,0.71,1.93,6.8,4.59,1.82,1.31,1.11,1.11,1.32,1.16,1.32,1.85,2.65,2.56,1.74,1.18,0.76,0.41
"144",0.11,0.05,0.01,NA,NA,0.05,0.23,0.66,1.79,0.98,0.79,0.76,1.08,1.18,1.02,0.94,1.11,1.21,1.04,0.86,0.61,0.31,0.31,0.49
"146",0.93,0.41,0.19,0.08,0.09,0.8,1.05,3.34,8.24,6.13,3.98,3.32,3.94,4.75,4.88,4.59,4.59,7.25,10.49,7.92,4.6,3.41,2.91,2.15
"147",0.48,0.31,0.12,0.08,0.08,0.96,1.9,6.12,12.89,8.78,5.55,5.76,6.87,6.85,8.01,8.42,10.86,20.85,24.18,16.09,10.6,6.28,3.51,1.14
"150",0.4,0.29,0.09,0.02,0.05,1.04,3.5,10.71,12.82,2.69,1.6,1.37,1.98,2.32,2.63,3.03,3.47,4.07,4.39,4.2,3.76,2.26,1.46,0.8
"151",2.59,1.38,0.72,0.55,0.44,0.95,2.22,5.39,17.08,15.79,10.28,10.95,12.86,14.89,15.84,15.67,16.83,23.6,28.57,21.18,14.89,9.82,6.18,4.56
"152",0.43,0.19,0.11,0.11,0.03,0.23,1.65,2,5.28,4.4,3.63,2.27,2.93,3.31,3.65,3.4,4.13,6.56,9.96,7.88,4.77,2.85,1.26,0.9
"153",0.11,0.08,0.05,0.03,0.02,0.12,0.55,3.34,5.4,5.05,3.39,3.44,4.43,4.97,5.92,5.29,7.26,9.86,4.5,2.5,1.47,0.86,0.42,0.34
"157",0.43,0.21,0.05,0.02,NA,0.09,1.5,3.73,7.56,3.59,1.49,1.23,1.31,1.44,1.51,1.46,1.88,1.82,2.19,2.55,1.71,1.24,1.21,1.29
"160",0.7,0.22,0.08,0.08,0.09,0.45,3.83,2.24,4.11,3.18,2.44,2.85,3.03,3.78,3.69,3.21,4.77,8.75,10.45,7.02,4.24,3.11,2.6,2.26
"161",3.05,1.41,0.73,0.35,0.31,0.38,1.68,5.15,10.12,7.89,6.36,6.13,7.48,7.25,9.11,9.65,10.44,12.67,13.31,12.5,10.68,9.4,6.82,4.96
"164",0.54,0.22,0.08,0.03,0.03,0.66,1.75,5.19,9.31,5.59,3.29,3.35,5.05,4.15,4.04,3.71,7.96,16.44,15.88,5.92,3.52,2.39,1.7,1.13
"167",0.62,0.23,0.1,0.06,0.08,0.65,2.36,8.15,17.2,14.79,5.53,4.66,5.96,5.47,6.12,5.4,9.33,15.82,10.52,6.33,4.29,2.74,2.08,1.21
"168",0.56,0.24,0.18,0.07,0.05,0.65,2.5,5.98,12.98,13.76,8.05,9.81,12.32,12.42,14.53,13.83,18,30.63,32.05,18.27,10.5,4.14,2.54,1.27
"173",0.98,0.63,0.5,0.18,0.11,0.27,1.65,5.51,16.75,14.21,9.73,7.9,8.77,8.81,8.8,9.37,13.73,20.18,11.53,6.93,4.47,3.18,2.71,1.38
