id	citibike_id	latitude	longitude	label	address	created_at	updated_at	id	citibike_id	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	cluster	t_av	outgoing_trips	incoming_trips	trips_rate	outgoing_balancing	incoming_balancing	balancing_rate	roundtrips	roundtrips_rate
1	72	40.76727216	-73.99392888	W 52 St & 11 Ave		2013-07-10 23:13:54.503501	2013-07-10 23:13:54.503501	1	72	0.434853	0.406023	0.414027	0.431777	0.411128	0.445693	0.501468	0.540692	0.401963	0.228844	0.193487	0.236597	0.275862	0.277334	0.265659	0.256489	0.238821	0.178788	0.206889	0.240613	0.307311	0.372512	0.417129	0.430752	1	0.338113	27639	27383	101	2456	1370	179	724	2.6
2	79	40.71911552	-74.00666661	Franklin St & W Broadway		2013-07-10 23:13:54.624135	2013-07-10 23:13:54.624135	2	79	0.171268	0.144654	0.14464	0.134334	0.131509	0.144012	0.121429	0.149859	0.22456	0.524161	0.711076	0.739756	0.718042	0.714684	0.683729	0.669725	0.668498	0.65958	0.525357	0.371269	0.284515	0.226076	0.201767	0.181615	2	0.385255	22808	23206	98	2501	1090	229	389	1.7
3	82	40.71117416	-74.00016545	St James Pl & Pearl St		2013-07-10 23:13:54.635235	2013-07-10 23:13:54.635235	3	82	0.575994	0.614605	0.60582	0.614418	0.626214	0.61746	0.555556	0.535429	0.440786	0.349349	0.306726	0.301452	0.289059	0.290691	0.2913	0.293804	0.324187	0.348934	0.397568	0.43057	0.435957	0.458362	0.493222	0.504397	3	0.445911	9883	9761	101	916	669	137	264	2.7
4	83	40.68382604	-73.97632328	Atlantic Ave & Fort Greene Pl		2013-07-10 23:13:54.645718	2013-07-10 23:13:54.645718	4	83	0.326105	0.254945	0.255218	0.253888	0.246085	0.245929	0.297749	0.298465	0.315313	0.311295	0.304134	0.307735	0.321005	0.323011	0.332135	0.335356	0.349823	0.360704	0.372268	0.386797	0.43534	0.42201	0.410152	0.392275	1	0.327406	11140	12205	91	2238	879	255	345	3.1
5	116	40.74177603	-74.00149746	W 17 St & 8 Ave		2013-07-10 23:13:54.656274	2013-07-10 23:13:54.656274	5	116	0.374074	0.376391	0.361668	0.358059	0.352502	0.323687	0.29644	0.287575	0.305556	0.394625	0.51702	0.574811	0.609269	0.602298	0.574404	0.497687	0.403143	0.271717	0.18982	0.202429	0.208944	0.272973	0.312939	0.329732	1	0.374907	46381	46818	99	4888	3222	152	558	1.2
6	119	40.69608941	-73.97803415	Park Ave & St Edwards St		2013-07-10 23:13:54.666529	2013-07-10 23:13:54.666529	6	119	0.498441	0.504717	0.497567	0.484727	0.495657	0.50802	0.512306	0.469453	0.460689	0.40019	0.362319	0.34327	0.341482	0.324826	0.343898	0.357422	0.3988	0.408852	0.465691	0.492504	0.518347	0.524436	0.53553	0.535733	3	0.44937	1858	1685	110	247	364	68	48	2.6
7	120	40.68676793	-73.95928168	Lexington Ave & Classon Ave		2013-07-10 23:13:54.677124	2013-07-10 23:13:54.677124	7	120	0.564327	0.58714	0.577621	0.580122	0.573838	0.601754	0.57251	0.497377	0.387589	0.20373	0.145947	0.161334	0.165306	0.179135	0.18012	0.181072	0.184211	0.205104	0.263472	0.36614	0.453791	0.499019	0.533596	0.549903	3	0.383923	4908	4610	106	493	691	71	197	4
8	127	40.73172428	-74.00674436	Barrow St & Hudson St		2013-07-10 23:13:54.687832	2013-07-10 23:13:54.687832	8	127	0.728793	0.721394	0.723367	0.728255	0.712966	0.705305	0.709352	0.621021	0.32574	0.265911	0.447058	0.410832	0.343437	0.32976	0.337338	0.364704	0.347266	0.395797	0.506307	0.650055	0.711886	0.737828	0.756159	0.756177	3	0.555696	58719	59109	99	5511	4412	125	995	1.7
9	128	40.72710258	-74.00297088	MacDougal St & Prince St		2013-07-10 23:13:54.699296	2013-07-10 23:13:54.699296	9	128	0.394203	0.402801	0.438133	0.403704	0.385632	0.338462	0.271193	0.300859	0.453945	0.679717	0.796789	0.809741	0.770968	0.755919	0.706938	0.653178	0.647887	0.573118	0.379756	0.30628	0.392285	0.439043	0.44913	0.411111	2	0.5067	43468	45883	95	6442	3679	175	775	1.8
10	137	40.71425541	-73.98130841	Henry St & Grand St		2013-07-10 23:13:54.709687	2013-07-10 23:13:54.709687	10	137	0.0736715	0.059475	0.0772744	0.0599767	0.0524483	0.0597309	0.11847	0.289669	0.742351	0.895613	0.889805	0.866168	0.810345	0.764998	0.695971	0.605837	0.422853	0.130237	0.0384166	0.141675	0.199146	0.151836	0.110325	0.0908827	2	0.347799	21412	21026	102	3710	3925	95	277	1.3
11	143	40.69239502	-73.99337909	Clinton St & Joralemon St		2013-07-10 23:13:54.720486	2013-07-10 23:13:54.720486	11	143	0.520988	0.488797	0.479167	0.497768	0.489684	0.50377	0.581835	0.562031	0.46232	0.283033	0.235872	0.220407	0.222701	0.227127	0.220552	0.241208	0.247713	0.27197	0.323881	0.400671	0.469742	0.490036	0.525456	0.535953	3	0.395945	10116	9996	101	924	925	100	356	3.5
12	144	40.69839895	-73.98068914	Nassau St & Navy St		2013-07-10 23:13:54.731216	2013-07-10 23:13:54.731216	12	144	0.381287	0.33292	0.332817	0.341635	0.316811	0.362907	0.415941	0.429176	0.418291	0.4318	0.421355	0.426585	0.427858	0.430579	0.430005	0.437953	0.42346	0.421212	0.427494	0.428059	0.443609	0.435763	0.465039	0.447632	1	0.409591	4958	5026	99	557	459	121	206	4.2
13	146	40.71625008	-74.0091059	Hudson St & Reade St		2013-07-10 23:13:54.741802	2013-07-10 23:13:54.741802	13	146	0.3132	0.342284	0.309093	0.303342	0.304207	0.301343	0.252165	0.271824	0.48678	0.573888	0.598916	0.628342	0.647422	0.649779	0.624505	0.627055	0.564444	0.558173	0.526112	0.434548	0.392705	0.356904	0.319959	0.278621	2	0.4444	22611	22346	101	3015	3195	94	389	1.7
14	147	40.71542197	-74.01121978	Greenwich St & Warren St		2013-07-10 23:13:54.752358	2013-07-10 23:13:54.752358	14	147	0.205948	0.205975	0.204354	0.181412	0.188732	0.179654	0.196098	0.399396	0.657969	0.823824	0.851097	0.833333	0.820881	0.83149	0.813506	0.80647	0.774205	0.72461	0.520941	0.347406	0.25018	0.183136	0.167584	0.181109	2	0.472888	45764	47844	96	6062	3945	154	623	1.4
15	150	40.7208736	-73.98085795	E 2 St & Avenue C		2013-07-10 23:13:54.786502	2013-07-10 23:13:54.786502	15	150	0.761529	0.733262	0.736378	0.743376	0.761666	0.752381	0.722209	0.511565	0.177419	0.0283832	0.0179829	0.0213526	0.0312384	0.0379056	0.0557185	0.069054	0.0870378	0.172043	0.406452	0.710077	0.791667	0.834402	0.845961	0.851764	3	0.452534	20002	20278	99	2593	2270	114	383	1.9
16	151	40.7218158	-73.99720307	Cleveland Pl & Spring St		2013-07-10 23:13:54.797724	2013-07-10 23:13:54.797724	16	151	0.174635	0.195111	0.181818	0.171131	0.176375	0.172727	0.178112	0.241255	0.258979	0.404677	0.670237	0.74845	0.74582	0.715763	0.66329	0.604945	0.563101	0.481359	0.326075	0.237546	0.2068	0.179277	0.156318	0.154252	2	0.358669	70374	69721	101	6800	7271	94	1239	1.8
17	152	40.71473993	-74.00910627	Warren St & Church St		2013-07-10 23:13:54.834356	2013-07-10 23:13:54.834356	17	152	0.256577	0.263338	0.218343	0.204741	0.205223	0.196059	0.215827	0.254685	0.342167	0.481516	0.559057	0.589538	0.625347	0.637982	0.621094	0.643678	0.641611	0.635528	0.547298	0.404292	0.299364	0.23067	0.190798	0.200784	2	0.394397	19142	19695	97	2307	1762	131	255	1.3
18	153	40.752062307	-73.9816324043	E 40 St & 5 Ave		2013-07-10 23:13:54.846325	2013-07-10 23:13:54.846325	18	153	0.0131726	0.0203458	0.0202379	0.0207657	0.0302247	0.0454834	0.105728	0.175491	0.348245	0.518771	0.599002	0.591722	0.552454	0.575659	0.463324	0.36946	0.284443	0.0845379	0.0091709	0.00796451	0.011675	0.00841429	0.00901014	0.00981488	2	0.20313	27722	26168	106	1005	2422	41	298	1.1
19	157	40.69089272	-73.99612349	Henry St & Atlantic Ave		2013-07-10 23:13:54.881035	2013-07-10 23:13:54.881035	19	157	0.784863	0.776456	0.780599	0.77795	0.778387	0.77971	0.753363	0.668111	0.445384	0.225617	0.181284	0.165884	0.178036	0.199845	0.234477	0.266321	0.297853	0.351252	0.546788	0.697402	0.778209	0.793309	0.788748	0.77781	3	0.542819	12171	12730	96	1754	1195	147	397	3.3
20	160	40.748306	-73.978045	E 37 St & Lexington Ave		2013-07-10 23:13:54.892337	2013-07-10 23:13:54.892337	20	160	0.12735	0.134978	0.14722	0.152129	0.142644	0.142491	0.0913116	0.0604749	0.044397	0.0504736	0.0676393	0.0981206	0.119805	0.134216	0.115497	0.119266	0.164751	0.165385	0.136969	0.0913313	0.0812729	0.091376	0.122922	0.104579	1	0.112775	20451	20585	99	2061	1891	109	227	1.1
21	161	40.72917025	-73.99810231	LaGuardia Pl & W 3 St		2013-07-10 23:13:54.904084	2013-07-10 23:13:54.904084	21	161	0.289101	0.254987	0.237935	0.222704	0.20319	0.20898	0.24409	0.246119	0.257937	0.412184	0.587274	0.674026	0.706404	0.736329	0.742941	0.734731	0.743902	0.722078	0.751557	0.762848	0.727466	0.618988	0.503088	0.414811	2	0.500153	42370	42809	99	4900	4453	110	489	1.2
22	164	40.75323098	-73.97032517	E 47 St & 2 Ave		2013-07-10 23:13:54.933381	2013-07-10 23:13:54.933381	22	164	0.072498	0.0619229	0.0750045	0.0836816	0.0765338	0.0721378	0.0688811	0.0943422	0.173496	0.568143	0.76125	0.760699	0.736733	0.712987	0.68734	0.678118	0.609562	0.430948	0.144173	0.0607997	0.0457827	0.0465838	0.0508308	0.052729	2	0.296882	23685	23623	100	2401	2413	100	268	1.1
23	167	40.7489006	-73.97604882	E 39 St & 3 Av		2013-07-10 23:13:54.945129	2013-07-10 23:13:54.945129	23	167	0.0867769	0.100337	0.104404	0.108794	0.109144	0.111111	0.11084	0.135613	0.27766	0.507217	0.512273	0.512131	0.49037	0.473364	0.454642	0.431554	0.365	0.190487	0.0923732	0.0720635	0.0756173	0.0862605	0.0960981	0.0906049	2	0.233114	33916	33350	102	3404	3883	88	279	0.8
24	168	40.73971301	-73.99456405	W 18 St & 6 Av		2013-07-10 23:13:54.959677	2013-07-10 23:13:54.959677	24	168	0.110087	0.105179	0.107635	0.115407	0.100186	0.109422	0.118705	0.178286	0.342987	0.75107	0.864392	0.840002	0.814686	0.806932	0.776253	0.763095	0.713155	0.559832	0.277358	0.144457	0.0918186	0.0860975	0.0810595	0.0811926	2	0.372471	52812	54611	97	7446	5729	130	511	1
25	173	40.76064679	-73.98442659	Broadway & W 49 St		2013-07-10 23:13:54.970996	2013-07-10 23:13:54.970996	25	173	0.0450826	0.039784	0.0282938	0.0304509	0.0282234	0.0569199	0.200106	0.44942	0.674102	0.67541	0.671031	0.624355	0.575265	0.534975	0.467543	0.425368	0.338356	0.142688	0.0396528	0.0377124	0.0333072	0.0350557	0.0304807	0.0329898	2	0.259024	38216	37994	101	4367	4598	95	769	2
26	174	40.7381765	-73.97738662	E 25 St & 1 Ave		2013-07-10 23:13:54.983639	2013-07-10 23:13:54.983639	26	174	0.586164	0.590385	0.602874	0.58725	0.601824	0.602764	0.635612	0.562272	0.414375	0.209137	0.113602	0.0805871	0.0680077	0.0852853	0.109254	0.105192	0.0697531	0.0552147	0.156566	0.207278	0.26209	0.336335	0.45967	0.553446	3	0.335622	28997	29114	100	3268	3122	105	293	1
27	195	40.70905623	-74.01043382	Liberty St & Broadway		2013-07-10 23:13:54.997045	2013-07-10 23:13:54.997045	27	195	0.0891556	0.0854369	0.0881116	0.0984216	0.0911111	0.0938444	0.123478	0.184901	0.363944	0.545289	0.652545	0.667886	0.658235	0.610817	0.583436	0.546591	0.459164	0.256696	0.0984357	0.0744406	0.0733702	0.0825374	0.0739632	0.0927941	2	0.278942	27570	27003	102	2607	3169	82	547	2
28	212	40.74334935	-74.00681753	W 16 St & The High Line		2013-07-10 23:13:55.009708	2013-07-10 23:13:55.009708	28	212	0.108995	0.119946	0.112095	0.0852997	0.0729889	0.085034	0.138489	0.318098	0.372355	0.670849	0.79649	0.792208	0.798645	0.760704	0.678781	0.637287	0.504573	0.326948	0.183049	0.145511	0.11352	0.10437	0.0879992	0.101529	2	0.338157	26310	26448	99	3261	3154	103	347	1.3
29	216	40.70037867	-73.99548059	Columbia Heights & Cranberry St		2013-07-10 23:13:55.022194	2013-07-10 23:13:55.022194	29	216	0.339614	0.326497	0.33376	0.334045	0.328831	0.324224	0.34376	0.32406	0.307568	0.251077	0.221889	0.235301	0.236882	0.252097	0.253984	0.233878	0.222826	0.228063	0.23037	0.270965	0.302666	0.317175	0.343065	0.337647	1	0.28751	6256	5062	124	289	1393	21	389	6.2
30	217	40.70277159	-73.99383605	Old Fulton St		2013-07-10 23:13:55.033664	2013-07-10 23:13:55.033664	30	217	0.376258	0.377842	0.368132	0.368819	0.363455	0.397129	0.389521	0.400516	0.428253	0.481585	0.518766	0.553444	0.587588	0.602909	0.581329	0.546903	0.481067	0.426017	0.410488	0.436056	0.453449	0.448399	0.401759	0.379899	1	0.449149	19412	20049	97	2793	2128	131	1971	10.2
